Location,Gear,Treatment,Oyster,S_boat,T_boat,Dirty_weight_Sboat,Clean_weight_Sboat,Fouling_weight,Whole_wet_weight,Fouling_ratio,Dry_tissue_Tboat,Dry_tissue,Dry_shell_Sboat,Dry_shell,Condition_index
Initial,Initial,Initial,1,2.122,2.120,,12.635,,10.513,,2.318,0.198,8.941,6.819,5.360
Initial,Initial,Initial,2,2.132,2.123,,8.831,,6.699,,2.249,0.126,6.744,4.612,6.037
Initial,Initial,Initial,3,2.117,2.123,,3.618,,1.501,,2.163,0.040,3.000,0.883,6.472
Initial,Initial,Initial,4,2.123,2.134,,15.142,,13.019,,2.430,0.296,10.226,8.103,6.021
Initial,Initial,Initial,5,2.110,2.118,,4.526,,2.416,,2.166,0.048,3.401,1.291,4.267
Initial,Initial,Initial,6,2.091,2.107,,9.451,,7.360,,2.288,0.181,6.837,4.746,6.924
Initial,Initial,Initial,7,2.098,2.115,,12.859,,10.761,,2.335,0.220,8.920,6.822,5.585
Initial,Initial,Initial,8,2.111,2.124,,10.283,,8.172,,2.293,0.169,7.400,5.289,5.862
Initial,Initial,Initial,9,2.105,2.117,,9.128,,7.023,,2.324,0.207,6.548,4.443,8.023
Initial,Initial,Initial,10,2.130,2.112,,8.520,,6.390,,2.247,0.135,6.579,4.449,6.955
Initial,Initial,Initial,11,2.115,2.098,,16.494,,14.379,,2.362,0.264,10.901,8.786,4.720
Initial,Initial,Initial,12,2.104,2.109,,7.927,,5.823,,2.236,0.127,5.745,3.641,5.820
Initial,Initial,Initial,13,2.088,2.107,,9.871,,7.783,,2.283,0.176,7.331,5.243,6.929
Initial,Initial,Initial,14,2.121,2.112,,13.755,,11.634,,2.409,0.297,8.887,6.766,6.101
Initial,Initial,Initial,15,2.123,2.104,,9.415,,7.292,,2.292,0.188,6.711,4.588,6.953
Initial,Initial,Initial,16,2.125,2.123,,7.989,,5.864,,2.271,0.148,6.025,3.900,7.536
Initial,Initial,Initial,17,2.107,2.113,,14.468,,12.361,,2.421,0.308,10.029,7.922,6.938
Initial,Initial,Initial,18,2.097,2.104,,8.346,,6.249,,2.256,0.152,6.021,3.924,6.538
Initial,Initial,Initial,19,2.124,2.119,,19.464,,17.340,,2.552,0.433,12.667,10.543,6.370
Initial,Initial,Initial,20,2.115,2.126,,20.325,,18.210,,2.632,0.506,13.430,11.315,7.339
Inside,BP,BPi,1,2.114,2.118,11.916,11.660,0.256,9.546,2.682,2.360,0.242,9.189,7.075,9.794
Inside,BP,BPi,2,2.116,2.116,28.168,27.339,0.829,25.223,3.287,2.875,0.759,19.229,17.113,9.359
Inside,BP,BPi,3,2.107,2.117,21.148,20.830,0.318,18.723,1.698,2.844,0.727,15.403,13.296,13.396
Inside,BP,BPi,4,2.115,2.123,48.826,48.476,0.350,46.361,0.755,3.187,1.064,36.701,34.586,9.036
Inside,BP,BPi,5,2.100,2.090,19.384,19.137,0.247,17.037,1.450,2.580,0.490,13.803,11.703,9.186
Inside,BP,BPi,6,2.103,2.107,15.279,14.978,0.301,12.875,2.338,2.593,0.486,10.783,8.680,11.585
Inside,BP,BPi,7,2.128,2.103,21.690,21.598,0.092,19.470,0.473,2.612,0.509,15.219,13.091,7.979
Inside,BP,BPi,8,2.097,2.125,22.616,22.417,0.199,20.320,0.979,2.664,0.539,16.050,13.953,8.466
Inside,BP,BPi,9,2.097,2.121,34.929,34.618,0.311,32.521,0.956,3.034,0.913,24.701,22.604,9.206
Inside,BP,BPi,10,2.138,2.104,20.602,20.270,0.332,18.132,1.831,2.694,0.590,14.770,12.632,10.727
Inside,BP,BPi,11,2.089,2.090,25.215,24.680,0.535,22.591,2.368,2.711,0.621,17.130,15.041,8.225
Inside,BP,BPi,12,2.122,2.109,25.643,25.073,0.570,22.951,2.484,2.830,0.721,16.601,14.479,8.510
Inside,BP,BPi,13,2.103,2.105,34.804,34.148,0.656,32.045,2.047,2.884,0.779,23.029,20.926,7.006
