Bag,Height,Length,Width,Cup_ratio,Shell_index,Oyster #,Sum actual dimen.,3:2:1 exp. height,3:2:1 exp. length,3:2:1 exp. width,Chi-square
1,50,28,14,0.28,0.70,1,92,46,30.66666667,15.33333333,0.6956521739
1,51,31,16,0.31,0.17,2,98,49,32.66666667,16.33333333,0.1734693878
1,56,33,13,0.23,1.46,3,102,51,34,17,1.460784314
1,53,40,15,0.28,0.96,4,108,54,36,18,0.962962963
1,61,32,15,0.25,1.85,5,108,54,36,18,1.851851852
1,47,30,10,0.21,1.71,6,87,43.5,29,14.5,1.712643678
1,43,27,11,0.26,0.62,7,81,40.5,27,13.5,0.6172839506
1,49,29,13,0.27,0.64,8,91,45.5,30.33333333,15.16666667,0.6373626374
1,63,36,13,0.21,2.64,9,112,56,37.33333333,18.66666667,2.642857143
1,38,20,10,0.26,0.94,10,68,34,22.66666667,11.33333333,0.9411764706
1,32,24,10,0.31,0.30,11,66,33,22,11,0.303030303
1,30,21,5,0.17,2.45,12,56,28,18.66666667,9.333333333,2.446428571
1,58,40,15,0.26,0.96,13,113,56.5,37.66666667,18.83333333,0.9646017699
1,39,26,10,0.26,0.60,14,75,37.5,25,12.5,0.6
1,58,34,14,0.24,1.28,15,106,53,35.33333333,17.66666667,1.283018868
1,40,31,12,0.30,0.70,16,83,41.5,27.66666667,13.83333333,0.6987951807
1,59,40,15,0.25,1.02,17,114,57,38,19,1.01754386
1,39,28,11,0.28,0.46,18,78,39,26,13,0.4615384615
1,32,24,6,0.19,2.39,19,62,31,20.66666667,10.33333333,2.387096774
1,57,38,14,0.25,1.15,20,109,54.5,36.33333333,18.16666667,1.146788991
1,32,19,7,0.22,1.05,21,58,29,19.33333333,9.666666667,1.051724138
1,25,20,7,0.28,0.77,22,52,26,17.33333333,8.666666667,0.7692307692
1,47,24,10,0.21,2.28,23,81,40.5,27,13.5,2.283950617
1,52,30,14,0.27,0.71,24,96,48,32,16,0.7083333333
1,49,30,10,0.20,2.03,25,89,44.5,29.66666667,14.83333333,2.033707865
1,46,31,13,0.28,0.32,26,90,45,30,15,0.3222222222
1,46,31,13,0.28,0.32,27,90,45,30,15,0.3222222222
1,44,31,11,0.25,0.99,28,86,43,28.66666667,14.33333333,0.988372093
1,40,35,12,0.30,1.95,29,87,43.5,29,14.5,1.954022989
