Bag,Height,Length,Width,Cup_ratio,Shell_index
1,50,28,14,0.28,0.70
1,51,31,16,0.31,0.17
1,56,33,13,0.23,1.46
1,53,40,15,0.28,0.96
1,61,32,15,0.25,1.85
1,47,30,10,0.21,1.71
1,43,27,11,0.26,0.62
1,49,29,13,0.27,0.64
1,63,36,13,0.21,2.64
1,38,20,10,0.26,0.94
1,32,24,10,0.31,0.30
1,30,21,5,0.17,2.45
1,58,40,15,0.26,0.96
1,39,26,10,0.26,0.60
1,58,34,14,0.24,1.28
1,40,31,12,0.30,0.70
1,59,40,15,0.25,1.02
1,39,28,11,0.28,0.46
1,32,24,6,0.19,2.39
1,57,38,14,0.25,1.15
1,32,19,7,0.22,1.05
1,25,20,7,0.28,0.77
1,47,24,10,0.21,2.28
1,52,30,14,0.27,0.71
1,49,30,10,0.20,2.03
1,46,31,13,0.28,0.32
1,46,31,13,0.28,0.32
1,44,31,11,0.25,0.99
1,40,35,12,0.30,1.95
1,26,16,7,0.27,0.27
1,46,36,11,0.24,2.12
1,28,11,8,0.29,2.26
2,59,36,12,0.20,2.48
2,45,33,13,0.29,0.55
2,40,26,11,0.28,0.32
2,46,31,12,0.26,0.65
2,37,27,10,0.27,0.66
2,59,38,16,0.27,0.54
2,57,30,17,0.30,1.12
2,42,22,10,0.24,1.41
2,38,25,11,0.29,0.18
2,42,23,10,0.24,1.20
2,32,21,10,0.31,0.03
2,44,27,13,0.30,0.20
2,44,30,11,0.25,0.86
2,44,32,11,0.25,1.16
2,35,23,11,0.31,0.03
2,42,24,10,0.24,1.05
2,45,29,12,0.27,0.48
2,38,33,11,0.29,1.91
2,29,20,7,0.24,0.71
2,46,29,12,0.26,0.57
2,45,24,11,0.24,1.30
2,48,36,12,0.25,1.50
2,39,28,10,0.26,0.84
2,34,23,8,0.24,0.89
2,28,26,9,0.32,1.79
2,26,20,8,0.31,0.37
2,26,20,7,0.27,0.70
2,25,21,8,0.32,0.76
2,43,30,10,0.23,1.31
2,45,29,11,0.24,0.87
2,32,25,9,0.28,0.80
2,30,22,8,0.27,0.60
3,43,36,11,0.26,2.36
3,62,34,16,0.26,1.32
3,69,43,19,0.28,0.56
3,42,25,11,0.26,0.58
3,55,34,13,0.24,1.25
3,64,30,20,0.31,2.60
3,48,34,16,0.33,0.08
3,52,39,15,0.29,0.80
3,45,26,9,0.20,2.05
3,35,20,8,0.23,1.03
3,40,29,10,0.25,1.04
3,40,30,10,0.25,1.25
3,40,25,9,0.23,1.15
3,26,18,7,0.27,0.33
3,28,18,8,0.29,0.15
3,24,21,5,0.21,2.50
3,39,24,9,0.23,1.00
3,36,28,13,4.33,32.91
3,45,30,10,0.22,1.47
3,38,32,11,0.29,1.54
3,49,31,13,0.27,0.54
3,40,25,11,0.28,0.33
3,42,30,12,0.29,0.43
3,29,24,7,0.24,1.73
3,40,24,9,0.23,1.16
3,64,42,16,0.25,1.11
3,32,24,9,0.28,0.57
3,47,27,11,0.23,1.25
3,42,27,8,0.19,2.21
3,41,27,11,0.27,0.43
3,27,20,9,0.33,0.14
3,43,27,17,0.40,0.57
4,37,24,13,0.35,0.05
4,48,37,13,0.27,1.28
4,46,37,12,0.26,1.87
4,67,39,15,0.22,2.07
4,36,35,13,0.36,2.68
4,60,42,19,0.32,0.14
4,60,40,20,0.33,0.00
4,47,29,11,0.23,1.13
4,48,34,13,0.27,0.68
4,38,28,8,0.21,2.00
4,40,27,9,0.23,1.28
4,45,29,12,0.27,0.48
4,49,36,13,0.27,1.02
4,42,34,15,0.36,0.71
4,39,24,9,0.23,1.00
4,33,22,7,0.21,1.29
4,33,30,8,0.24,3.11
4,52,32,11,0.21,1.91
4,40,32,11,0.28,1.31
4,46,30,11,0.24,1.02
4,42,34,8,0.19,3.86
4,40,25,9,0.23,1.15
4,35,28,9,0.26,1.44
4,52,30,14,0.27,0.71
4,28,15,7,0.25,0.74
4,40,29,10,0.25,1.04
4,38,27,11,0.29,0.33
4,53,38,12,0.23,1.99
4,55,34,11,0.20,2.44
4,40,28,13,0.33,0.06
4,32,28,9,0.28,1.81
4,60,38,15,0.25,1.00
