Location,Date.time,High.sal,Temp
Inside,06/08/2022 19:00:00,28.9544,15.76
Inside,06/08/2022 20:00:00,29.1261,15.71
Inside,06/08/2022 21:00:00,29.0714,15.53
Inside,06/08/2022 22:00:00,28.949,15.29
Inside,06/08/2022 23:00:00,28.8977,15.16
Inside,06/09/2022 00:00:00,28.8599,15.09
Inside,06/09/2022 01:00:00,28.8196,15.08
Inside,06/09/2022 02:00:00,28.7579,15.00
Inside,06/09/2022 03:00:00,28.7874,14.96
Inside,06/09/2022 04:00:00,28.8626,15.14
Inside,06/09/2022 05:00:00,28.8438,15.11
Inside,06/09/2022 06:00:00,28.9085,15.20
Inside,06/09/2022 07:00:00,28.9626,15.24
Inside,06/09/2022 08:00:00,28.9085,15.24
Inside,06/09/2022 09:00:00,28.8357,15.16
Inside,06/09/2022 10:00:00,28.8572,15.15
Inside,06/09/2022 11:00:00,28.8518,15.20
Inside,06/09/2022 12:00:00,28.3905,15.08
Inside,06/09/2022 13:00:00,27.2787,15.12
Inside,06/09/2022 14:00:00,26.4369,15.16
Inside,06/09/2022 15:00:00,28.6859,15.14
Inside,06/09/2022 16:00:00,28.8223,15.21
Inside,06/09/2022 17:00:00,28.8438,15.22
Inside,06/09/2022 18:00:00,28.8061,15.17
Inside,06/09/2022 19:00:00,28.8169,15.20
Inside,06/09/2022 20:00:00,28.7874,15.08
Inside,06/09/2022 21:00:00,28.7499,15.03
Inside,06/09/2022 22:00:00,28.6779,14.86
Inside,06/09/2022 23:00:00,28.6168,14.78
Inside,06/10/2022 00:00:00,28.6115,14.76
Inside,06/10/2022 01:00:00,28.548,14.62
Inside,06/10/2022 02:00:00,28.5217,14.55
Inside,06/10/2022 03:00:00,28.3931,14.30
Inside,06/10/2022 04:00:00,28.4848,14.44
Inside,06/10/2022 05:00:00,28.5665,14.57
Inside,06/10/2022 06:00:00,28.6619,14.70
Inside,06/10/2022 07:00:00,28.6619,14.76
Inside,06/10/2022 08:00:00,28.7365,14.84
Inside,06/10/2022 09:00:00,28.8815,15.15
Inside,06/10/2022 10:00:00,28.9436,15.26
Inside,06/10/2022 11:00:00,29.225,15.82
Inside,06/10/2022 12:00:00,29.4135,16.86
Inside,06/10/2022 13:00:00,29.7461,17.39
Inside,06/10/2022 14:00:00,29.9958,17.58
Inside,06/10/2022 15:00:00,30.5129,18.38
Inside,06/10/2022 16:00:00,30.4831,18.47
Inside,06/10/2022 17:00:00,30.3053,18.11
Inside,06/10/2022 18:00:00,29.4359,16.52
Inside,06/10/2022 19:00:00,29.2691,16.21
Inside,06/10/2022 20:00:00,29.2968,16.27
Inside,06/10/2022 21:00:00,29.2471,16.19
Inside,06/10/2022 22:00:00,29.159,16.06
Inside,06/10/2022 23:00:00,28.9544,15.63
Inside,06/11/2022 00:00:00,28.868,15.47
Inside,06/11/2022 01:00:00,28.7446,15.27
Inside,06/11/2022 02:00:00,28.6699,15.11
Inside,06/11/2022 03:00:00,28.638,15.03
Inside,06/11/2022 04:00:00,28.5797,14.93
Inside,06/11/2022 05:00:00,28.5797,14.90
Inside,06/11/2022 06:00:00,28.5111,15.09
Inside,06/11/2022 07:00:00,28.7178,15.45
Inside,06/11/2022 08:00:00,28.9409,15.57
Inside,06/11/2022 09:00:00,29.0359,15.71
Inside,06/11/2022 10:00:00,29.1343,16.01
Inside,06/11/2022 11:00:00,29.0632,15.94
Inside,06/11/2022 12:00:00,29.6609,17.20
Inside,06/11/2022 13:00:00,29.941,17.65
Inside,06/11/2022 14:00:00,29.8519,17.52
Inside,06/11/2022 15:00:00,30.3762,18.40
Inside,06/11/2022 16:00:00,30.8841,19.53
Inside,06/11/2022 17:00:00,30.3466,18.48
Inside,06/11/2022 18:00:00,30.0045,17.96
Inside,06/11/2022 19:00:00,29.2636,16.52
Inside,06/11/2022 20:00:00,28.9843,16.34
Inside,06/11/2022 21:00:00,29.1809,16.42
Inside,06/11/2022 22:00:00,29.1645,16.39
Inside,06/11/2022 23:00:00,29.0006,16.11
Inside,06/12/2022 00:00:00,28.8196,15.77
Inside,06/12/2022 01:00:00,28.7419,15.62
Inside,06/12/2022 02:00:00,28.585,15.40
Inside,06/12/2022 03:00:00,28.5797,15.27
Inside,06/12/2022 04:00:00,28.5322,15.16
Inside,06/12/2022 05:00:00,28.5032,15.12
Inside,06/12/2022 06:00:00,28.5006,15.15
Inside,06/12/2022 07:00:00,28.6168,15.44
Inside,06/12/2022 08:00:00,28.895,15.87
Inside,06/12/2022 09:00:00,28.9816,16.16
Inside,06/12/2022 10:00:00,29.0768,16.28
Inside,06/12/2022 11:00:00,29.1947,16.63
Inside,06/12/2022 12:00:00,29.0278,16.44
Inside,06/12/2022 13:00:00,29.7975,17.77
Inside,06/12/2022 14:00:00,30.0161,18.08
Inside,06/12/2022 15:00:00,29.9785,18.04
Inside,06/12/2022 16:00:00,30.4742,19.03
Inside,06/12/2022 17:00:00,30.7989,19.78
Inside,06/12/2022 18:00:00,30.2259,18.58
Inside,06/12/2022 19:00:00,29.7006,17.82
Inside,06/12/2022 20:00:00,29.2277,16.75
Inside,06/12/2022 21:00:00,29.1452,16.58
Inside,06/12/2022 22:00:00,29.2222,16.68
Inside,06/12/2022 23:00:00,29.2636,16.73
Inside,06/13/2022 00:00:00,28.9707,16.23
Inside,06/13/2022 01:00:00,28.7793,15.83
Inside,06/13/2022 02:00:00,28.7339,15.81
Inside,06/13/2022 03:00:00,28.7365,15.81
Inside,06/13/2022 04:00:00,28.7232,15.82
Inside,06/13/2022 05:00:00,28.6088,15.83
Inside,06/13/2022 06:00:00,28.6035,15.86
Inside,06/13/2022 07:00:00,28.6912,15.96
Inside,06/13/2022 08:00:00,28.8008,16.13
Inside,06/13/2022 09:00:00,29.0632,16.43
Inside,06/13/2022 10:00:00,29.0823,16.50
Inside,06/13/2022 11:00:00,29.1178,16.60
Inside,06/13/2022 12:00:00,29.0441,16.55
Inside,06/13/2022 13:00:00,28.9328,16.37
Inside,06/13/2022 14:00:00,29.4052,17.24
Inside,06/13/2022 15:00:00,29.3801,17.11
Inside,06/13/2022 16:00:00,29.7661,17.83
Inside,06/13/2022 17:00:00,29.8261,18.01
Inside,06/13/2022 18:00:00,29.967,18.26
Inside,06/13/2022 19:00:00,29.6241,17.65
Inside,06/13/2022 20:00:00,29.3718,17.11
Inside,06/13/2022 21:00:00,29.0905,16.63
Inside,06/13/2022 22:00:00,29.2333,16.89
Inside,06/13/2022 23:00:00,29.0686,16.81
Inside,06/14/2022 00:00:00,29.1343,16.74
Inside,06/14/2022 01:00:00,28.7633,15.94
Inside,06/14/2022 02:00:00,28.4271,15.71
Inside,06/14/2022 03:00:00,28.6247,15.67
Inside,06/14/2022 04:00:00,28.5032,15.46
Inside,06/14/2022 05:00:00,28.4376,15.35
Inside,06/14/2022 06:00:00,28.4586,15.36
Inside,06/14/2022 07:00:00,28.3384,15.20
Inside,06/14/2022 08:00:00,28.6939,15.81
Inside,06/14/2022 09:00:00,28.782,15.97
Inside,06/14/2022 10:00:00,28.5903,15.93
Inside,06/14/2022 11:00:00,28.8115,16.26
Inside,06/14/2022 12:00:00,28.949,16.68
Inside,06/14/2022 14:00:00,1.1766,25.76
Inside,06/14/2022 15:00:00,3.1578,22.47
Inside,06/14/2022 16:00:00,0.9129,22.08
Inside,06/14/2022 17:00:00,0,33.37
Inside,06/14/2022 18:00:00,0,25.42
Inside,06/14/2022 19:00:00,0.0967,21.77
Inside,06/14/2022 20:00:00,0.6696,18.95
Inside,06/14/2022 21:00:00,3.0341,17.15
Inside,06/14/2022 22:00:00,3.6206,16.62
Inside,06/14/2022 23:00:00,30.5578,15.20
Inside,06/15/2022 00:00:00,30.6237,15.19
Inside,06/15/2022 01:00:00,1.8602,14.84
Inside,06/15/2022 02:00:00,1.8009,14.55
Inside,06/15/2022 03:00:00,1.8729,14.14
Inside,06/15/2022 04:00:00,1.8685,13.82
Inside,06/15/2022 05:00:00,1.8336,13.46
Inside,06/15/2022 06:00:00,1.8347,14.44
Inside,06/15/2022 07:00:00,2.1502,15.85
Inside,06/15/2022 08:00:00,3.0633,17.12
Inside,06/15/2022 09:00:00,1.9871,18.26
Inside,06/15/2022 10:00:00,1.2237,19.67
Inside,06/15/2022 11:00:00,0,26.96
Inside,06/15/2022 12:00:00,0,31.91
Inside,06/15/2022 13:00:00,2.6403,21.26
Inside,06/15/2022 14:00:00,2.5564,21.32
Inside,06/15/2022 15:00:00,2.7296,19.05
Inside,06/15/2022 16:00:00,4.7347,18.52
Inside,06/15/2022 17:00:00,4.0118,22.43
Inside,06/15/2022 18:00:00,0.3795,24.68
Inside,06/15/2022 19:00:00,1.0165,19.22
Inside,06/15/2022 20:00:00,2.8338,17.37
Inside,06/15/2022 21:00:00,3.0932,16.08
Inside,06/15/2022 22:00:00,3.0352,15.00
Inside,06/15/2022 23:00:00,2.8918,14.37
Inside,06/16/2022 00:00:00,31.1547,15.51
Inside,06/16/2022 01:00:00,31.1702,15.51
Inside,06/16/2022 02:00:00,1.6206,13.53
Inside,06/16/2022 03:00:00,1.5725,12.74
Inside,06/16/2022 04:00:00,1.5944,12.28
Inside,06/16/2022 05:00:00,1.6381,12.21
Inside,06/16/2022 06:00:00,1.7078,12.69
Inside,06/16/2022 07:00:00,1.9675,15.83
Inside,06/16/2022 08:00:00,2.5306,17.22
Inside,06/16/2022 09:00:00,4.09,18.37
Inside,06/16/2022 10:00:00,5.2444,18.01
Inside,06/16/2022 11:00:00,2.1818,16.59
Inside,06/16/2022 12:00:00,2.6742,16.71
Inside,06/16/2022 13:00:00,28.3958,16.11
Inside,06/16/2022 14:00:00,31.6737,16.24
Inside,06/16/2022 15:00:00,3.1307,16.48
Inside,06/16/2022 16:00:00,2.7007,16.24
Inside,06/16/2022 17:00:00,3.6128,16.59
Inside,06/16/2022 18:00:00,4.9559,16.39
Inside,06/16/2022 19:00:00,5.0687,16.23
Inside,06/16/2022 20:00:00,4.7784,16.23
Inside,06/16/2022 21:00:00,4.309,15.97
Inside,06/16/2022 22:00:00,9.1854,15.80
Inside,06/16/2022 23:00:00,3.1149,15.93
Inside,06/17/2022 00:00:00,3.7698,16.13
Inside,06/17/2022 01:00:00,31.0373,16.13
Inside,06/17/2022 02:00:00,31.7057,16.12
Inside,06/17/2022 03:00:00,4.3809,16.03
Inside,06/17/2022 04:00:00,29.5874,15.55
Inside,06/17/2022 05:00:00,31.2697,15.51
Inside,06/17/2022 06:00:00,31.3448,15.52
Inside,06/17/2022 07:00:00,31.4264,15.63
Inside,06/17/2022 08:00:00,31.5306,15.86
Inside,06/17/2022 09:00:00,31.8148,16.30
Inside,06/17/2022 10:00:00,32.0709,16.76
Inside,06/17/2022 11:00:00,31.4643,16.53
Inside,06/17/2022 12:00:00,31.97,16.48
Inside,06/17/2022 13:00:00,31.9602,16.62
Inside,06/17/2022 14:00:00,32.0971,16.58
Inside,06/17/2022 15:00:00,31.6993,16.55
Inside,06/17/2022 16:00:00,31.8245,16.43
Inside,06/17/2022 17:00:00,31.8858,16.39
Inside,06/17/2022 18:00:00,32.3606,17.04
Inside,06/17/2022 19:00:00,32.1331,16.69
Inside,06/17/2022 20:00:00,31.8245,16.52
Inside,06/17/2022 21:00:00,31.9797,16.42
Inside,06/17/2022 22:00:00,31.8019,16.21
Inside,06/17/2022 23:00:00,31.8858,16.18
Inside,06/18/2022 00:00:00,31.8341,16.09
Inside,06/18/2022 01:00:00,31.9311,16.21
Inside,06/18/2022 02:00:00,31.9408,16.22
Inside,06/18/2022 03:00:00,31.8922,16.18
Inside,06/18/2022 04:00:00,31.7826,16.01
Inside,06/18/2022 05:00:00,31.5306,15.52
Inside,06/18/2022 06:00:00,31.5053,15.47
Inside,06/18/2022 07:00:00,31.439,15.37
Inside,06/18/2022 08:00:00,31.4485,15.31
Inside,06/18/2022 09:00:00,31.4548,15.37
Inside,06/18/2022 10:00:00,31.48,15.53
Inside,06/18/2022 11:00:00,32.1134,16.99
Inside,06/18/2022 12:00:00,21.9142,16.79
Inside,06/18/2022 13:00:00,30.8171,16.81
Inside,06/18/2022 14:00:00,32.009,16.23
Inside,06/18/2022 15:00:00,32.0187,16.54
Inside,06/18/2022 16:00:00,32.1298,16.45
Inside,06/18/2022 17:00:00,31.9149,16.28
Inside,06/18/2022 18:00:00,31.889,15.94
Inside,06/18/2022 19:00:00,31.7762,15.76
Inside,06/18/2022 20:00:00,31.757,15.71
Inside,06/18/2022 21:00:00,31.6769,15.60
Inside,06/18/2022 22:00:00,31.5877,15.44
Inside,06/18/2022 23:00:00,31.5401,15.36
Inside,06/19/2022 00:00:00,31.5941,15.41
Inside,06/19/2022 01:00:00,31.4076,15.04
Inside,06/19/2022 02:00:00,31.2572,14.79
Inside,06/19/2022 03:00:00,31.2137,14.73
Inside,06/19/2022 04:00:00,31.1981,14.69
Inside,06/19/2022 05:00:00,31.2292,14.74
Inside,06/19/2022 06:00:00,31.0373,14.35
Inside,06/19/2022 07:00:00,31.0373,14.35
Inside,06/19/2022 08:00:00,31.0035,14.29
Inside,06/19/2022 09:00:00,31.0035,14.33
Inside,06/19/2022 10:00:00,31.0434,14.38
Inside,06/19/2022 11:00:00,31.0804,14.54
Inside,06/19/2022 12:00:00,31.1361,14.73
Inside,06/19/2022 13:00:00,31.1919,14.64
Inside,06/19/2022 14:00:00,31.0404,14.34
Inside,06/19/2022 15:00:00,30.9973,14.28
Inside,06/19/2022 16:00:00,30.9268,14.29
Inside,06/19/2022 17:00:00,30.9636,14.28
Inside,06/19/2022 18:00:00,30.9942,14.32
Inside,06/19/2022 19:00:00,30.8719,14.12
Inside,06/19/2022 20:00:00,30.8414,13.98
Inside,06/19/2022 21:00:00,30.7685,13.91
Inside,06/19/2022 22:00:00,30.6448,13.71
Inside,06/19/2022 23:00:00,30.5607,13.57
Inside,06/20/2022 00:00:00,30.5757,13.60
Inside,06/20/2022 01:00:00,30.6719,13.72
Inside,06/20/2022 02:00:00,30.6688,13.66
Inside,06/20/2022 03:00:00,30.5727,13.48
Inside,06/20/2022 04:00:00,30.5219,13.44
Inside,06/20/2022 05:00:00,30.5428,13.39
Inside,06/20/2022 06:00:00,30.5159,13.32
Inside,06/20/2022 07:00:00,30.4921,13.30
Inside,06/20/2022 08:00:00,30.4891,13.29
Inside,06/20/2022 09:00:00,30.8384,13.82
Inside,06/20/2022 10:00:00,31.4927,14.95
Inside,06/20/2022 11:00:00,32.5272,17.00
Inside,06/20/2022 12:00:00,33.6165,18.99
Inside,06/20/2022 13:00:00,33.2649,18.22
Inside,06/20/2022 14:00:00,31.3981,15.15
Inside,06/20/2022 15:00:00,30.8566,14.02
Inside,06/20/2022 16:00:00,30.7867,13.87
Inside,06/20/2022 17:00:00,30.9942,14.14
Inside,06/20/2022 18:00:00,30.9789,14.14
Inside,06/20/2022 19:00:00,30.9881,14.17
Inside,06/20/2022 20:00:00,30.8597,13.99
Inside,06/20/2022 21:00:00,30.7171,13.76
Inside,06/20/2022 22:00:00,30.6297,13.65
Inside,06/20/2022 23:00:00,30.6387,13.65
Inside,06/21/2022 00:00:00,30.5697,13.55
Inside,06/21/2022 01:00:00,30.495,13.45
Inside,06/21/2022 02:00:00,30.5667,13.56
Inside,06/21/2022 03:00:00,30.5907,13.60
Inside,06/21/2022 04:00:00,30.5518,13.52
Inside,06/21/2022 05:00:00,30.507,13.51
Inside,06/21/2022 06:00:00,30.4682,13.46
Inside,06/21/2022 07:00:00,30.495,13.51
Inside,06/21/2022 08:00:00,30.5219,13.53
