Date,Location,Gear,Treatment,Cage,Bag,Oyster,Height,Length,Width,Cup.ratio,Shell.shape,Replicate
6/14/22,Inside,BP,BPi,,,1,41,29,11,0.27,0.62,BPi
6/14/22,Inside,BP,BPi,,,2,50,24,15,0.30,1.76,BPi
6/14/22,Inside,BP,BPi,,,3,55,30,15,0.27,1.00,BPi
6/14/22,Inside,BP,BPi,,,4,48,31,12,0.25,0.81,BPi
6/14/22,Inside,BP,BPi,,,5,35,29,11,0.31,0.99,BPi
6/14/22,Inside,BP,BPi,,,6,34,22,10,0.29,0.12,BPi
6/14/22,Inside,BP,BPi,,,7,58,39,16,0.28,0.51,BPi
6/14/22,Inside,BP,BPi,,,8,52,40,15,0.29,1.02,BPi
6/14/22,Inside,BP,BPi,,,9,49,24,12,0.24,1.99,BPi
6/14/22,Inside,BP,BPi,,,10,28,20,8,0.29,0.29,BPi
6/14/22,Inside,BP,BPi,,,11,41,32,15,0.37,0.45,BPi
6/14/22,Inside,BP,BPi,,,12,32,25,15,0.47,1.24,BPi
6/14/22,Inside,BP,BPi,,,13,70,41,15,0.21,2.52,BPi
6/14/22,Inside,BP,BPi,,,14,55,43,16,0.29,1.20,BPi
6/14/22,Inside,BP,BPi,,,15,38,27,10,0.26,0.67,BPi
6/14/22,Inside,BP,BPi,,,16,40,30,11,0.28,0.80,BPi
6/14/22,Inside,BP,BPi,,,17,44,29,12,0.27,0.40,BPi
6/14/22,Inside,BP,BPi,,,18,50,30,11,0.22,1.59,BPi
6/14/22,Inside,BP,BPi,,,19,53,36,15,0.28,0.38,BPi
6/14/22,Inside,BP,BPi,,,20,58,37,14,0.24,1.19,BPi
6/14/22,Inside,BP,BPi,,,21,42,34,14,0.33,0.80,BPi
6/14/22,Inside,BP,BPi,,,22,45,29,13,0.29,0.21,BPi
6/14/22,Inside,BP,BPi,,,23,65,39,16,0.25,1.24,BPi
6/14/22,Inside,BP,BPi,,,24,28,25,9,0.32,1.37,BPi
6/14/22,Inside,BP,BPi,,,25,34,26,9,0.26,0.94,BPi
6/14/22,Inside,BP,BPi,,,26,46,40,12,0.26,2.98,BPi
6/14/22,Inside,BP,BPi,,,27,42,34,13,0.31,1.00,BPi
6/14/22,Inside,BP,BPi,,,28,46,29,9,0.20,2.20,BPi
6/14/22,Inside,BP,BPi,,,29,70,43,11,0.16,5.62,BPi
6/14/22,Inside,BP,BPi,,,30,37,23,10,0.27,0.36,BPi
6/14/22,Inside,BP,BPi,,,31,53,39,13,0.25,1.62,BPi
6/14/22,Inside,BP,BPi,,,32,56,37,14,0.25,0.99,BPi
6/14/22,Inside,BP,BPi,,,33,57,31,11,0.19,3.09,BPi
6/14/22,Inside,BP,BPi,,,34,38,26,9,0.24,1.00,BPi
6/14/22,Inside,BP,BPi,,,35,37,22,9,0.24,0.76,BPi
6/14/22,Inside,BP,BPi,,,36,34,27,10,0.29,0.82,BPi
6/14/22,Inside,BP,BPi,,,37,60,35,18,0.30,0.44,BPi
6/14/22,Inside,BP,BPi,,,38,47,25,12,0.26,1.20,BPi
6/14/22,Inside,BP,BPi,,,39,47,23,12,0.26,1.77,BPi
6/14/22,Inside,BP,BPi,,,40,53,32,16,0.30,0.25,BPi
6/14/22,Inside,BP,BPi,,,41,49,30,12,0.24,0.93,BPi
6/14/22,Inside,BP,BPi,,,42,61,36,16,0.26,0.86,BPi
6/14/22,Inside,BP,BPi,,,43,47,35,13,0.28,0.86,BPi
6/14/22,Inside,BP,BPi,,,44,67,48,19,0.28,0.75,BPi
6/14/22,Inside,BP,BPi,,,45,38,20,17,0.45,2.63,BPi
6/14/22,Inside,BP,BPi,,,46,38,29,9,0.24,1.59,BPi
